ParisSG,ParisSG;
Lens,Lens;
Nice,Nice;
Angers,Angers;
Marseille,Marseille;
Monaco,Monaco;
Lorient,Lorient;
Lille,Lille;
Nantes,Nantes;
Lyon,Lyon;
Rennes,Rennes;
Strasbourg,Strasbourg;
Montpellier,Montpellier;
Reims,Reims;
Clermont,Clermont;
Bordeaux,Bordeaux;
Troyes,Troyes;
Metz,Metz;
Brest,Brest;
Saint-Etienne,Saint-Etienne;
Bayern Munich,BayernMunich;
Bayer 04 Leverkusen,BayerLeverkusen;
Borussia Dortmund,Dortmund;
Fribourg,Fribourg;
VfL Wolfsbourg,Wolfsburg;
Cologne,FCCologne;
Union Berlin,UnionBerlin;
RasenBallsport Leipzig,RBLeipzig;
Mayence,Mayence;
Borussia Monchengladbach,BMonchengladbach;
TSG 1899 Hoffenheim,Hoffenheim;
VfB Stuttgart,Stuttgart;
Brentford,Francfort;
Hertha BSC,HerthaBerlin;
Augsbourg,Augsburg;
Arminia Bielefeld,Bielefeld;
VfL Bochum,Bochum;
Greuther Furth,GreutherFurth;
Chelsea,Chelsea;
Liverpool,Liverpool;
Manchester City,ManchesterCity;
Manchester United,ManchesterUnited;
Everton,Everton;
Brighton,Brighton;
Brentford,Brentford;
Tottenham,Tottenham;
WestHam,WestHam;
Aston Villa,AstonVilla;
Arsenal,Arsenal;
Wolverhampton,Wolverhampton;
Leicester,Leicester;
Crystal Palace,CrystalPalace;
Watford,Watford;
Leeds,Leeds;
Southampton,Southampton;
Burnley,Burnley;
Newcastle,Newcastle;
Norwich,Norwich;
RealMadrid,RealMadrid;
AtleticoMadrid,AtleticoMadrid;
RealSociedad,RealSociedad;
Séville,FCSeville;
Osasuna,Osasuna;
Vallecano,Vallecano;
AthleticBilbao,AthleticBilbao;
Valence,Valence;
Barcelone,FCBarcelone;
Besiktas,Betis;
Villarreal,Villareal;
Majorque,Majorque;
Espanyol,Espanyol;
Elche,Elche;
CeltaVigo,CeltaVigo;
Cádiz,Cadix;
Grenade,Grenade;
Levante,Levante;
Nantes,Alaves;
Getafe,Getafe;
SSC Naples,Naples;
Milan,ACMilan;
Inter Milan,Inter;
Roma,ASRome;
Fiorentina,Fiorentina;
Lazio,Lazio;
Juventus,Juventus;
Atalanta,Atalanta;
Cologne,Bologne;
Empoli,Empoli;
Torino,Torino;
Hellas Verona,HellaVerone;
Udinese Calcio,Udinese;
Sassuolo Calcio,Sassuolo;
Sampdoria,Sampdoria;
Genoa,Genoa;
Venise,Venise;
Salernitana 1919,Salernitana;
Spezia,Spezia;
Cagliari Calcio,Cagliari;
