PSG,ParisSG;
RC Lens,Lens;
Nice,Nice;
Marseille,Marseille;
AS Monaco,Monaco;
Lorient,Lorient;
Lille,Lille;
Nantes,Nantes;
Lyonnais,Lyon;
RC Lens,Rennes;
RC Strasbourg,Strasbourg;
Montpellier HSC,Montpellier;
Stade Reims,Reims;
Clermont Foot,Clermont;
Bordeaux,Bordeaux;
ES Troyes AC,Troyes;
Metz,Metz;
Stade Brest,Brest;
AS Saint-Etienne,Saint-Etienne;
FC Bayern Munich,BayernMunich;
Bayer Leverkusen,BayerLeverkusen;
Borussia Dortmund,Dortmund;
Freiburg,Fribourg;
VfL Wolfsburg,Wolfsburg;
FC Cologne,FCCologne;
FC Union Berlin,UnionBerlin;
RB Leipzig,RBLeipzig;
Marseille,Mayence;
Borussia Monchengladbach,BMonchengladbach;
1899 Hoffenheim,Hoffenheim;
VfB Stuttgart,Stuttgart;
Brentford,Francfort;
Hertha BSC,HerthaBerlin;
FC Augsburg,Augsburg;
Arminia Bielefeld,Bielefeld;
VfL Bochum,Bochum;
SpVgg Greuther Fürth,GreutherFurth;
Chelsea,Chelsea;
Liverpool,Liverpool;
Manchester City,ManchesterCity;
Manchester United,ManchesterUnited;
Everton,Everton;
Brighton,Brighton;
Brentford,Brentford;
Tottenham Hotspur,Tottenham;
West Ham United,WestHam;
Aston Villa,AstonVilla;
Arsenal,Arsenal;
Southampton,Wolverhampton;
Leicester City,Leicester;
Crystal Palace,CrystalPalace;
Watford,Watford;
Leeds United,Leeds;
Southampton,Southampton;
Burnley,Burnley;
Newcastle United,Newcastle;
Norwich City,Norwich;
Real Madrid,RealMadrid;
Atletico Madrid,AtleticoMadrid;
Real Sociedad,RealSociedad;
Sevilla,FCSeville;
Osasuna,Osasuna;
Rayo Vallecano,Vallecano;
Athletic Bilbao,AthleticBilbao;
Valencia CF,Valence;
Barcelona,FCBarcelone;
Real Betis,Betis;
Villarreal CF,Villareal;
Marseille,Majorque;
RCD Espanyol,Espanyol;
CF Elche,Elche;
Celta Vigo,CeltaVigo;
CF Cadiz,Cadix;
Genoa,Grenade;
UD Levante,Levante;
CD Alaves,Alaves;
Getafe CF,Getafe;
Napoli,Naples;
AC Milan,ACMilan;
Inter Milan,Inter;
AS Roma,ASRome;
Fiorentina,Fiorentina;
Lazio,Lazio;
Juventus,Juventus;
Atalanta,Atalanta;
Bologna,Bologne;
Empoli,Empoli;
AC Torino,Torino;
Hellas Verona,HellaVerone;
Udinese,Udinese;
Sassuolo,Sassuolo;
Sampdoria,Sampdoria;
Genoa,Genoa;
Venezia,Venise;
Salernitana,Salernitana;
Spezia Calcio,Spezia;
Cagliari,Cagliari;
