ParisSaint-GermainFC,ParisSG;
RCLens,Lens;
OGCNice,Nice;
AngersSCO,Angers;
OlympiqueMarseille,Marseille;
ASMonacoFC,Monaco;
FCLorient,Lorient;
LOSCLille,Lille;
FCNantes,Nantes;
FCLorient,Lyon;
RCLens,Rennes;
RCStrasbourgAlsace,Strasbourg;
MontpellierHSC,Montpellier;
StadeReims,Reims;
ClermontFoot,Clermont;
FCGirondinsBordeaux,Bordeaux;
ESTroyesAC,Troyes;
FCMetz,Metz;
ASSaint-Etienne,Saint-Etienne;
FCBayernMunich,BayernMunich;
Bayer04Leverkusen,BayerLeverkusen;
BorussiaDortmund,Dortmund;
SCFreiburg,Fribourg;
VfLWolfsburg,Wolfsburg;
1.FCKoln,FCCologne;
1.FCUnionBerlin,UnionBerlin;
RBLeipzig,RBLeipzig;
BorussiaMonchengladbach,BMonchengladbach;
TSG1899Hoffenheim,Hoffenheim;
VfBStuttgart,Stuttgart;
EintrachtFrankfurt,Francfort;
HerthaBSC,HerthaBerlin;
FCAugsburg,Augsburg;
DSCArminiaBielefeld,Bielefeld;
VfLBochum,Bochum;
SpVggGreutherFurth,GreutherFurth;
ChelseaFC,Chelsea;
LiverpoolFC,Liverpool;
ManchesterCityFC,ManchesterCity;
ManchesterUnitedFC,ManchesterUnited;
EvertonFC,Everton;
Brighton&HoveAlbionFC,Brighton;
BrentfordFC,Brentford;
TottenhamHotspurFC,Tottenham;
WestHamUnitedFC,WestHam;
AstonVillaFC,AstonVilla;
ArsenalFC,Arsenal;
WolverhamptonWanderersFC,Wolverhampton;
LeicesterCityFC,Leicester;
CrystalPalaceFC,CrystalPalace;
WatfordFC,Watford;
LeedsUnited,Leeds;
SouthamptonFC,Southampton;
BurnleyFC,Burnley;
NewcastleUnitedFC,Newcastle;
NorwichCityFC,Norwich;
RealMadrid,RealMadrid;
AtleticoMadrid,AtleticoMadrid;
RealSociedad,RealSociedad;
SevillaFC,FCSeville;
CAOsasuna,Osasuna;
RayoVallecano,Vallecano;
AthleticBilbao,AthleticBilbao;
ValenciaCF,Valence;
FCBarcelona,FCBarcelone;
VillarrealCF,Villareal;
RCDMallorca,Majorque;
RCDEspanyolBarcelona,Espanyol;
ElcheCF,Elche;
RCCeltadeVigo,CeltaVigo;
CadizCF,Cadix;
GranadaCF,Grenade;
LevanteUD,Levante;
DeportivoAlaves,Alaves;
GetafeCF,Getafe;
FCNantes,Naples;
ACMilan,ACMilan;
FCInterMilano,Inter;
ASRoma,ASRome;
ACFFiorentina,Fiorentina;
SSLazio,Lazio;
JuventusFC,Juventus;
AtalantaBC,Atalanta;
BolognaFC1909,Bologne;
FCEmpoli,Empoli;
TorinoFC,Torino;
HellasVeronaFC,HellaVerone;
UdineseCalcio,Udinese;
USSassuoloCalcio,Sassuolo;
UCSampdoria,Sampdoria;
GenoaCFC,Genoa;
Venezia,Venise;
SportivaSalernitana,Salernitana;
SpeziaCalcio,Spezia;
CagliariCalcio,Cagliari;
