ParisSG,ParisSG;
Lens,Lens;
Nice,Nice;
Angers,Angers;
Marseille,Marseille;
Monaco,Monaco;
Lorient,Lorient;
Lille,Lille;
Nantes,Nantes;
Lyon,Lyon;
Rennes,Rennes;
Strasbourg,Strasbourg;
Montpellier,Montpellier;
Reims,Reims;
Clermont,Clermont;
Bordeaux,Bordeaux;
Troyes,Troyes;
Metz,Metz;
Brest,Brest;
Saint-Etienne,Saint-Etienne;
BayernMunich,BayernMunich;
B.Leverkusen,BayerLeverkusen;
Dortmund,Dortmund;
Fribourg,Fribourg;
Wolfsburg,Wolfsburg;
Cologne,FCCologne;
UnionBerlin,UnionBerlin;
RBLeipzig,RBLeipzig;
Mayence,Mayence;
B.M'gladbach,BMonchengladbach;
Hoffenheim,Hoffenheim;
Stuttgart,Stuttgart;
Francfort,Francfort;
HerthaBerlin,HerthaBerlin;
Augsbourg,Augsburg;
Barcelone,Bielefeld;
Bochum,Bochum;
GreutherFürth,GreutherFurth;
Chelsea,Chelsea;
Liverpool,Liverpool;
ManchesterCity,ManchesterCity;
ManchesterUtd,ManchesterUnited;
Everton,Everton;
Brighton,Brighton;
Brentford,Brentford;
Tottenham,Tottenham;
WestHam,WestHam;
AstonVilla,AstonVilla;
Arsenal,Arsenal;
Wolverhampton,Wolverhampton;
Leicester,Leicester;
CrystalPalace,CrystalPalace;
Watford,Watford;
Southampton,Southampton;
Burnley,Burnley;
Newcastle,Newcastle;
NorwichCity,Norwich;
RealMadrid,RealMadrid;
AtleticoMadrid,AtleticoMadrid;
RealSociedad,RealSociedad;
Séville,FCSeville;
Osasuna,Osasuna;
RayoVallecano,Vallecano;
AthleticBilbao,AthleticBilbao;
Valence,Valence;
Barcelone,FCBarcelone;
Betis,Betis;
Villarreal,Villareal;
Majorque,Majorque;
Espanyol,Espanyol;
Elche,Elche;
CeltaVigo,CeltaVigo;
Cadix,Cadix;
Grenade,Grenade;
Levante,Levante;
Alavés,Alaves;
Getafe,Getafe;
Naples,Naples;
Milan,ACMilan;
Inter,Inter;
Roma,ASRome;
Fiorentina,Fiorentina;
Lazio,Lazio;
Juventus,Juventus;
Atalanta,Atalanta;
Bologne,Bologne;
Empoli,Empoli;
Torino,Torino;
Vérone,HellaVerone;
Udinese,Udinese;
Sassuolo,Sassuolo;
Sampdoria,Sampdoria;
Genoa,Genoa;
Valence,Venise;
Salernitana,Salernitana;
Spezia,Spezia;
Cagliari,Cagliari;
