Paris Saint-Germain,ParisSG;
RC Lens,Lens;
Nice,Nice;
Olympique Marseille,Marseille;
AS Monaco,Monaco;
Lorient,Lorient;
Lille OSC,Lille;
Nantes,Nantes;
Lorient,Lyon;
RC Lens,Rennes;
RC Strasbourg,Strasbourg;
Montpellier HSC,Montpellier;
Stade de Reims,Reims;
Clermont Foot,Clermont;
Girondins de Bordeaux,Bordeaux;
ESTAC Troyes,Troyes;
Metz,Metz;
St Etienne,Saint-Etienne;
Bayern Munich,BayernMunich;
Bayer Leverkusen,BayerLeverkusen;
Borussia Dortmund,Dortmund;
SC Fribourg,Fribourg;
VfL Wolfsbourg,Wolfsburg;
FC Cologne,FCCologne;
Union Berlin,UnionBerlin;
RB Leipzig,RBLeipzig;
FSV Mayence,Mayence;
Borussia Mönchengladbach,BMonchengladbach;
TSG Hoffenheim,Hoffenheim;
Vfb Stuttgart,Stuttgart;
Eintracht Francfort,Francfort;
Hertha Berlin,HerthaBerlin;
FC Augsbourg,Augsburg;
Arminia Bielefeld,Bielefeld;
VFL Bochum,Bochum;
Greuther Fürth,GreutherFurth;
Chelsea FC,Chelsea;
Liverpool,Liverpool;
Manchester City FC,ManchesterCity;
Manchester United FC,ManchesterUnited;
Everton FC,Everton;
Brighton & Hove Albion FC,Brighton;
Brentford FC,Brentford;
Tottenham Hotspur FC,Tottenham;
West Ham United FC,WestHam;
Aston Villa,AstonVilla;
Genoa,Arsenal;
Southampton,Wolverhampton;
Leicester City FC,Leicester;
Crystal Palace FC,CrystalPalace;
Watford,Watford;
Leeds United,Leeds;
Southampton,Southampton;
Burnley,Burnley;
Newcastle United FC,Newcastle;
Norwich City FC,Norwich;
Real Madrid,RealMadrid;
Atlético Madrid,AtleticoMadrid;
Real Sociedad,RealSociedad;
FC Séville,FCSeville;
Osasuna,Osasuna;
Rayo Vallecano,Vallecano;
Athletic Bilbao,AthleticBilbao;
Valence CF,Valence;
FC Barcelone,FCBarcelone;
Besiktas,Betis;
Villarreal CF,Villareal;
Majorque,Majorque;
Espanyol Barcelone,Espanyol;
CF Elche,Elche;
Celta Vigo,CeltaVigo;
Cadix CF,Cadix;
Grenade CF,Grenade;
Levante UD,Levante;
Deportivo Alaves,Alaves;
Getafe,Getafe;
SSC Naples,Naples;
Milan AC,ACMilan;
Inter Milan,Inter;
AS Rome,ASRome;
ACF Fiorentina,Fiorentina;
Lazio Rome,Lazio;
Juventus,Juventus;
Atalanta Bergame,Atalanta;
Bologne FC,Bologne;
Empoli FC,Empoli;
Torino FC,Torino;
Hellas Vérone,HellaVerone;
Udinese,Udinese;
Sassuolo,Sassuolo;
Sampdoria Gênes,Sampdoria;
Genoa,Genoa;
Venezia,Venise;
US Salernitana,Salernitana;
Spezia Calcio,Spezia;
Cagliari Calcio,Cagliari;
