ParisSaint-Germain,ParisSG;
Lens,Lens;
Nice,Nice;
Angers,Angers;
Marseille,Marseille;
Monaco,Monaco;
Lorient,Lorient;
Lille,Lille;
Nantes,Nantes;
Lyon,Lyon;
Rennes,Rennes;
Strasbourg,Strasbourg;
Montpellier,Montpellier;
Reims,Reims;
Clermont,Clermont;
Bordeaux,Bordeaux;
Troyes,Troyes;
Metz,Metz;
Brest,Brest;
Saint-Etienne,Saint-Etienne;
BayernMunich,BayernMunich;
Bayer04Leverkusen,BayerLeverkusen;
BorussiaDortmund,Dortmund;
Freiburg,Fribourg;
Wolfsburg,Wolfsburg;
Bologna,FCCologne;
UnionBerlin,UnionBerlin;
RBLeipzig,RBLeipzig;
France,Mayence;
BorussiaMonchengladbach,BMonchengladbach;
1899Hoffenheim,Hoffenheim;
Stuttgart,Stuttgart;
France,Francfort;
HerthaBerlin,HerthaBerlin;
Augsburg,Augsburg;
ArminiaBielefeld,Bielefeld;
Bochum,Bochum;
GreutherFurth,GreutherFurth;
Chelsea,Chelsea;
Liverpool,Liverpool;
ManchesterCity,ManchesterCity;
ManchesterUnited,ManchesterUnited;
Everton,Everton;
Brighton&HoveAlbion,Brighton;
Brentford,Brentford;
TottenhamHotspur,Tottenham;
WestHamUnited,WestHam;
AstonVilla,AstonVilla;
Arsenal,Arsenal;
WolverhamptonWanderers,Wolverhampton;
LeicesterCity,Leicester;
CrystalPalace,CrystalPalace;
Watford,Watford;
Southampton,Southampton;
Burnley,Burnley;
NewcastleUnited,Newcastle;
NorwichCity,Norwich;
RealMadrid,RealMadrid;
AtleticoMadrid,AtleticoMadrid;
RealSociedad,RealSociedad;
Sevilla,FCSeville;
Osasuna,Osasuna;
RayoVallecano,Vallecano;
AthleticBilbao,AthleticBilbao;
Valencia,Valence;
Barcelona,FCBarcelone;
Betis,Betis;
Villarreal,Villareal;
Mallorca,Majorque;
Espanyol,Espanyol;
Elche,Elche;
CeltadeVigo,CeltaVigo;
Cadiz,Cadix;
Granada,Grenade;
Levante,Levante;
Alaves,Alaves;
Getafe,Getafe;
Wales,Naples;
Milan,ACMilan;
Inter,Inter;
Roma,ASRome;
Fiorentina,Fiorentina;
Lazio,Lazio;
Juventus,Juventus;
Atalanta,Atalanta;
Bologna,Bologne;
Empoli,Empoli;
Torino,Torino;
Verona,HellaVerone;
Udinese,Udinese;
Sassuolo,Sassuolo;
Sampdoria,Sampdoria;
Genoa,Genoa;
Venezia,Venise;
Salernitana,Salernitana;
Spezia,Spezia;
Cagliari,Cagliari;
