PSG,ParisSG;
Lens,Lens;
Nice,Nice;
Angers,Angers;
Marseille,Marseille;
Monaco,Monaco;
Lorient,Lorient;
Lille,Lille;
Nantes,Nantes;
Lyon,Lyon;
Rennes,Rennes;
Strasbourg,Strasbourg;
Montpellier,Montpellier;
Reims,Reims;
Clermont,Clermont;
Bordeaux,Bordeaux;
Troyes,Troyes;
Metz,Metz;
Brest,Brest;
Saint-Étienne,Saint-Etienne;
FCBayernMunich,BayernMunich;
Bayer04Leverkusen,BayerLeverkusen;
BorussiaDortmund,Dortmund;
SCFribourg,Fribourg;
Wolfsburg,Wolfsburg;
1.FCCologne,FCCologne;
UnionBerlin,UnionBerlin;
RBLeipzig,RBLeipzig;
Mayence,Mayence;
BorussiaMönchengladbach,BMonchengladbach;
Hoffenheim,Hoffenheim;
VfBStuttgart,Stuttgart;
EintrachtFrancfort,Francfort;
HerthaBSC,HerthaBerlin;
FCAugsbourg,Augsburg;
ArminiaBielefeld,Bielefeld;
VfLBochum1848,Bochum;
GreutherFürth,GreutherFurth;
Chelsea,Chelsea;
Liverpool,Liverpool;
ManchesterCity,ManchesterCity;
ManchesterUnited,ManchesterUnited;
Everton,Everton;
BrightonAndHoveAlbion,Brighton;
Brentford,Brentford;
TottenhamHotspur,Tottenham;
WestHamUnited,WestHam;
AstonVilla,AstonVilla;
Arsenal,Arsenal;
WolverhamptonWanderers,Wolverhampton;
LeicesterCity,Leicester;
CrystalPalace,CrystalPalace;
Watford,Watford;
Southampton,Southampton;
Burnley,Burnley;
NewcastleUnited,Newcastle;
NorwichCity,Norwich;
RealMadrid,RealMadrid;
AtléticoMadrid,AtleticoMadrid;
RealSociedad,RealSociedad;
Séville,FCSeville;
Osasuna,Osasuna;
RayoVallecano,Vallecano;
AthleticBilbao,AthleticBilbao;
Valence,Valence;
FCBarcelone,FCBarcelone;
RealBetis,Betis;
Villarreal,Villareal;
Majorque,Majorque;
EspanyolBarcelone,Espanyol;
Elche,Elche;
CeltadeVigo,CeltaVigo;
Cádiz,Cadix;
Grenade,Grenade;
Levante,Levante;
Albanie,Alaves;
Getafe,Getafe;
Naples,Naples;
MilanAC,ACMilan;
InterMilan,Inter;
ASRome,ASRome;
FiorentinaAC,Fiorentina;
Lazio,Lazio;
Juventus,Juventus;
AtalantaBergame,Atalanta;
Bologne,Bologne;
EmpoliFC,Empoli;
TorinoFC,Torino;
HellasVérone,HellaVerone;
Udinese,Udinese;
USSassuolo,Sassuolo;
Sampdoria,Sampdoria;
Genoa,Genoa;
Valence,Venise;
USSalernitana,Salernitana;
SpeziaCalcio,Spezia;
Cagliari,Cagliari;
