ParisSG,ParisSG;
Lens,Lens;
Nice,Nice;
Angers,Angers;
Marseille,Marseille;
Monaco,Monaco;
Lorient,Lorient;
Lille,Lille;
Nantes,Nantes;
Lyon,Lyon;
Rennes,Rennes;
Strasbourg,Strasbourg;
Montpellier,Montpellier;
Reims,Reims;
Clermont,Clermont;
Bordeaux,Bordeaux;
Troyes,Troyes;
Metz,Metz;
Brest,Brest;
StEtienne,Saint-Etienne;
BayernMunich,BayernMunich;
Leverkusen,BayerLeverkusen;
Dortmund,Dortmund;
Fribourg,Fribourg;
Wolfsburg,Wolfsburg;
Cologne,FCCologne;
UnionBerlin,UnionBerlin;
RBLeipzig,RBLeipzig;
Mayence,Mayence;
M'Gladbach,BMonchengladbach;
Hoffenheim,Hoffenheim;
Stuttgart,Stuttgart;
Ein.Francfort,Francfort;
HerthaBerlin,HerthaBerlin;
Augsburg,Augsburg;
Bielefeld,Bielefeld;
Bochum,Bochum;
GreutherFurth,GreutherFurth;
Chelsea,Chelsea;
Liverpool,Liverpool;
Man.City,ManchesterCity;
Man.United,ManchesterUnited;
Everton,Everton;
BrightonHove,Brighton;
Brentford,Brentford;
Tottenham,Tottenham;
WestHam,WestHam;
AstonVilla,AstonVilla;
Arsenal,Arsenal;
Wolverhampton,Wolverhampton;
Leicester,Leicester;
CrystalPalace,CrystalPalace;
Watford,Watford;
LeedsUtd,Leeds;
Southampton,Southampton;
Burnley,Burnley;
Newcastle,Newcastle;
Norwich,Norwich;
RealMadrid,RealMadrid;
Atl.Madrid,AtleticoMadrid;
RealSociedad,RealSociedad;
FCSéville,FCSeville;
Osasuna,Osasuna;
RayoVallecano,Vallecano;
Ath.Bilbao,AthleticBilbao;
CFValence,Valence;
FCBarcelone,FCBarcelone;
Besiktas,Betis;
Villarreal,Villareal;
Majorque,Majorque;
Espanyol,Espanyol;
Elche,Elche;
CeltaVigo,CeltaVigo;
Cadix,Cadix;
Genoa,Grenade;
Levante,Levante;
Alaves,Alaves;
Getafe,Getafe;
Naples,Naples;
MilanAC,ACMilan;
InterMilan,Inter;
ASRome,ASRome;
LazioRome,Lazio;
JuventusTurin,Juventus;
Atalanta,Atalanta;
Bologne,Bologne;
Empoli,Empoli;
Torino,Torino;
HellasVérone,HellaVerone;
Udinese,Udinese;
Sassuolo,Sassuolo;
Sampdoria,Sampdoria;
Genoa,Genoa;
Salernitana,Salernitana;
SpeziaCalcio,Spezia;
Cagliari,Cagliari;
