ParisSaintGermain,ParisSG;
Lens,Lens;
Nice,Nice;
AngersSCO,Angers;
Marseille,Marseille;
ASMonaco,Monaco;
Lorient,Lorient;
Lille,Lille;
Nantes,Nantes;
Lyon,Lyon;
Rennes,Rennes;
Strasbourg,Strasbourg;
MontpellierHSC,Montpellier;
Reims,Reims;
Clermont,Clermont;
Bordeaux,Bordeaux;
TroyesAC,Troyes;
Metz,Metz;
Brest,Brest;
Saint-Étienne,Saint-Etienne;
BayernMunich,BayernMunich;
BayerLeverkusen,BayerLeverkusen;
BorussiaDortmund,Dortmund;
Fribourg,Fribourg;
Wolfsbourg,Wolfsburg;
FCCologne,FCCologne;
UnionBerlin,UnionBerlin;
RBLeipzig,RBLeipzig;
Mayence05,Mayence;
BorussiaM'gladbach,BMonchengladbach;
Hoffenheim,Hoffenheim;
Stuttgart,Stuttgart;
EintrachtFrancfort,Francfort;
HerthaBerlin,HerthaBerlin;
Augsbourg,Augsburg;
ArminiaBielefeld,Bielefeld;
Bochum,Bochum;
GreutherFurth,GreutherFurth;
Chelsea,Chelsea;
Liverpool,Liverpool;
ManchesterCity,ManchesterCity;
ManchesterUnited,ManchesterUnited;
Everton,Everton;
BrightonandHoveAlbion,Brighton;
Brentford,Brentford;
TottenhamHotspur,Tottenham;
WestHamUnited,WestHam;
AstonVilla,AstonVilla;
Arsenal,Arsenal;
Southampton,Wolverhampton;
LeicesterCity,Leicester;
CrystalPalace,CrystalPalace;
Watford,Watford;
Southampton,Southampton;
Burnley,Burnley;
NewcastleUnited,Newcastle;
NorwichCity,Norwich;
RealMadrid,RealMadrid;
AtleticoMadrid,AtleticoMadrid;
RealSociedad,RealSociedad;
Séville,FCSeville;
Osasuna,Osasuna;
RayoVallecano,Vallecano;
AthleticClubBilbao,AthleticBilbao;
Valence,Valence;
Barcelone,FCBarcelone;
RealBetis,Betis;
VillarrealCF,Villareal;
Majorque,Majorque;
Espanyol,Espanyol;
ElcheCF,Elche;
CeltadeVigo,CeltaVigo;
Cadix,Cadix;
GranadeCF,Grenade;
LevanteUD,Levante;
Alaves,Alaves;
Getafe,Getafe;
Naples,Naples;
ACMilan,ACMilan;
ASRome,ASRome;
Fiorentina,Fiorentina;
Lazio,Lazio;
Juventus,Juventus;
AtalantaBC,Atalanta;
Bologne,Bologne;
Empoli,Empoli;
Torino,Torino;
HellasVéroneFC,HellaVerone;
Udinese,Udinese;
Sassuolo,Sassuolo;
Sampdoria,Sampdoria;
Genoa,Genoa;
Venise,Venise;
Salernitana,Salernitana;
Spezia,Spezia;
Cagliari,Cagliari;
