ParisSG,ParisSG;
Lens,Lens;
Nice,Nice;
Angers,Angers;
Marseille,Marseille;
Monaco,Monaco;
Lorient,Lorient;
Lille,Lille;
Nantes,Nantes;
Lyon,Lyon;
Rennes,Rennes;
Strasbourg,Strasbourg;
Montpellier,Montpellier;
Reims,Reims;
Clermont,Clermont;
Bordeaux,Bordeaux;
ESTACTroyes,Troyes;
Metz,Metz;
Brest,Brest;
StEtienne,Saint-Etienne;
BayernMunich,BayernMunich;
Leverkusen,BayerLeverkusen;
Dortmund,Dortmund;
Fribourg,Fribourg;
Wolfsbourg,Wolfsburg;
Cologne,FCCologne;
FCUnionBerlin,UnionBerlin;
RBLeipzig,RBLeipzig;
FSVMayence05,Mayence;
Mgladbach,BMonchengladbach;
Hoffenheim,Hoffenheim;
Stuttgart,Stuttgart;
EintrachtFrancfort,Francfort;
HerthaBerlin,HerthaBerlin;
Augsburg,Augsburg;
ArminiaBielefeld,Bielefeld;
Bochum,Bochum;
GreutherFurth,GreutherFurth;
Chelsea,Chelsea;
Liverpool,Liverpool;
ManchesterCity,ManchesterCity;
ManchesterUnited,ManchesterUnited;
Everton,Everton;
Brighton,Brighton;
Brentford,Brentford;
Tottenham,Tottenham;
WestHam,WestHam;
AstonVilla,AstonVilla;
Arsenal,Arsenal;
Wolverhampton,Wolverhampton;
Leicester,Leicester;
CrystalPalace,CrystalPalace;
Watford,Watford;
Leeds,Leeds;
Southampton,Southampton;
Burnley,Burnley;
Newcastle,Newcastle;
Norwich,Norwich;
RealMadrid,RealMadrid;
AtleticoMadrid,AtleticoMadrid;
RealSociedad,RealSociedad;
FCSeville,FCSeville;
OsasunaPampelune,Osasuna;
RayoVallecano,Vallecano;
AthleticBilbao,AthleticBilbao;
Valence,Valence;
Barcelone,FCBarcelone;
Besiktas,Betis;
Villarreal,Villareal;
Majorque,Majorque;
Espanyol,Espanyol;
Elche,Elche;
CeltaVigo,CeltaVigo;
Cadiz,Cadix;
Grenade,Grenade;
Levante,Levante;
Alaves,Alaves;
Getafe,Getafe;
Naples,Naples;
ACMilan,ACMilan;
Inter,Inter;
ASRome,ASRome;
Fiorentina,Fiorentina;
LazioRome,Lazio;
Juventus,Juventus;
Atalanta,Atalanta;
Bologne,Bologne;
Empoli,Empoli;
Torino,Torino;
HellasVerone,HellaVerone;
Udinese,Udinese;
Sassuolo,Sassuolo;
SampdoriadeGenes,Sampdoria;
Genoa,Genoa;
Valence,Venise;
Salernitana,Salernitana;
Spezia,Spezia;
Cagliari,Cagliari;
