ParisSG,ParisSG;
Lens,Lens;
Nice,Nice;
Angers,Angers;
Marseille,Marseille;
Monaco,Monaco;
Lorient,Lorient;
Lille,Lille;
Nantes,Nantes;
Lyon,Lyon;
Rennes,Rennes;
Strasbourg,Strasbourg;
Montpellier,Montpellier;
Reims,Reims;
Clermont,Clermont;
Bordeaux,Bordeaux;
Troyes,Troyes;
Metz,Metz;
Brest,Brest;
Saint-Étienne,Saint-Etienne;
BayernMunich,BayernMunich;
BayerLeverkusen,BayerLeverkusen;
BorussiaDortmund,Dortmund;
Fribourg,Fribourg;
Wolfsburg,Wolfsburg;
FCCologne,FCCologne;
UnionBerlin,UnionBerlin;
RBLeipzig,RBLeipzig;
Mayence,Mayence;
BorussiaMönchengladbach,BMonchengladbach;
Hoffenheim,Hoffenheim;
VfbStuttgart,Stuttgart;
EintrachtFrancfort,Francfort;
HerthaBerlin,HerthaBerlin;
Augsbourg,Augsburg;
ArminiaBielefeld,Bielefeld;
Bochum,Bochum;
GreutherFürth,GreutherFurth;
Chelsea,Chelsea;
Liverpool,Liverpool;
ManchesterCity,ManchesterCity;
ManchesterUnited,ManchesterUnited;
Everton,Everton;
Brighton,Brighton;
BrentfordFC,Brentford;
Tottenham,Tottenham;
WestHam,WestHam;
AstonVilla,AstonVilla;
Arsenal,Arsenal;
Wolverhampton,Wolverhampton;
Leicester,Leicester;
CrystalPalace,CrystalPalace;
Watford,Watford;
Southampton,Southampton;
BurnleyFC,Burnley;
Newcastle,Newcastle;
NorwichCity,Norwich;
RealMadrid,RealMadrid;
AtleticodeMadrid,AtleticoMadrid;
RealSociedad,RealSociedad;
FCSéville,FCSeville;
CAOsasuna,Osasuna;
RayoVallecano,Vallecano;
AthleticBilbao,AthleticBilbao;
ValenceCF,Valence;
FCBarcelone,FCBarcelone;
RealBetis,Betis;
VillarrealCF,Villareal;
RealMajorque,Majorque;
EspanyolBarcelone,Espanyol;
ElcheCF,Elche;
CeltaVigo,CeltaVigo;
CádizCF,Cadix;
GrenadeCF,Grenade;
LevanteUD,Levante;
Albanie,Alaves;
GetafeCF,Getafe;
Naples,Naples;
MilanAC,ACMilan;
InterMilan,Inter;
ASRome,ASRome;
Fiorentina,Fiorentina;
LazioRome,Lazio;
JuventusTurin,Juventus;
AtalantaBergame,Atalanta;
Bologne,Bologne;
Empoli,Empoli;
Torino,Torino;
HellasVerone,HellaVerone;
Udinese,Udinese;
Sassuolo,Sassuolo;
Sampdoria,Sampdoria;
Genoa,Genoa;
Venise,Venise;
USSalernitana1919,Salernitana;
Spezia,Spezia;
Cagliari,Cagliari;
